id,name,address,business_hour,hasStock,tel
1107,ビッグワンTSUTAYA さくら店,栃木県さくら市櫻野505番地,朝09:00～夜11:00,True,028-682-7001
1118,TSUTAYA 宇都宮テクノ店,栃木県宇都宮市ゆいの杜4-1-39,朝10:00～夜11:00(レンタル)／朝10:00～夜11:00(販売),True,028-670-8771
1125,TSUTAYA 自治医大店,栃木県下野市医大前3-1-1,朝09:00～夜11:00(レンタル)／朝09:00～夜11:00(販売),True,0285-44-7637
1141,TSUTAYA 栃木城内店,栃木県栃木市城内町2-6-23,朝09:00～夜11:00(TSUTAYA/GrandBooks)／朝09:00～夜10:00(TULLY’SCOFFEE),True,0282-21-7351
1143,TSUTAYA 宇都宮戸祭店,栃木県宇都宮市上戸祭町365-1,朝10:00～夜10:00(レンタル)／朝10:00～夜10:00(販売),True,028-625-3212
1216,TSUTAYA 江木店,群馬県高崎市江木町２８番地,朝09:00～夜10:00((短縮営業実施中）),True,027-328-7771
1331,TSUTAYA レイクタウン,埼玉県越谷市レイクタウン4丁目2番地2　イオンレイクタウンKaze　A‐107,朝09:00～夜11:00(TSUTAYA)／朝09:00～夜11:00(タリーズコーヒー),True,048-990-3380
1468,TSUTAYA 坂戸八幡店,埼玉県坂戸市八幡1-3-21,朝09:00～夜10:00(レンタル)／朝09:00～夜10:00(本・CD・ゲームの販売),True,049-299-4401
2207,TSUTAYA 馬事公苑店,東京都世田谷区上用賀2-4-18 コリーヌ馬事公苑 1F,朝09:00～夜11:00(1F本販売)／08:00～夜11:00(カフェ)／10:00～夜11:00(2Fレンタル・販売),True,03-5450-3232(※間違い電話にご注意下さい。)
2714,蔦屋書店 フレスポ府中店,東京都府中市西原町1-6-2,朝10:00～夜09:00(（平日）)／朝10:00～夜09:00((土日・祝日）),True,042-358-3500
2733,蔦屋書店 八王子楢原店,東京都八王子市楢原町819-1,朝09:00～夜09:00,True,042-628-7770
1773,精文館書店 下瀬谷店,神奈川県横浜市瀬谷区下瀬谷2-18-13,朝10:00～夜01:00,True,045-306-1782(本/文具/販売CD・DVDの問い合わせ) ／ 045-306-1780(レンタルに関する問い合わせ)
1500,TSUTAYA 松戸駅前店,千葉県松戸市本町4-18,朝10:00～夜10:00(レンタル・販売),True,047-308-2273
1649,TSUTAYA 木更津店,千葉県木更津市太田2-5-1,朝09:00～夜02:00,True,0438-20-3181(※レンタルカウンターに繋がります。) ／ 0438-20-3182(※販売カウンターに繋がります。)
